De,Para,R,X
1, 2, 0.0005,0.0012
2, 3, 0.0005,0.0012
3, 4, 0.0001,0.0001
4, 5, 0.0015,0.0036
5, 6, 0.0251,0.0294
6, 7, 0.3660,0.1864
7, 8, 0.3811,0.1941
8, 9, 0.0922,0.0470
9, 10,0.0493,0.0251
10,11,0.0922,0.0470
11,12,0.1872,0.0619
12,13,0.7114,0.2351
13,14,1.0300,0.3400
14,15,1.0440,0.3450
15,16,1.0580,0.3496
16,17,0.1966,0.0650
17,18,0.3744,0.1238
18,19,0.0047,0.0016
19,20,0.3276,0.1083
20,21,0.2106,0.0696 
21,22,0.3416,0.1129
22,23,0.0140,0.0046
23,24,0.1591,0.0526
24,25,0.3463,0.1145 
25,26,0.7488,0.2475
26,27,0.3089,0.1021
27,28,0.1732,0.0572 
3,29,0.0044,0.0108
29,30,0.0640,0.1565
30,31,0.3978,0.1315
31,32,0.0702,0.0232
32,33,0.3510,0.1160 
33,34,0.8390,0.2816
34,35,1.7080,0.5646
35,36,1.4740,0.4870
4,37,0.0044,0.0108
37,38,0.0640,0.1565
38,39,0.1053,0.1230
39,40,0.0304,0.0305
40,41,0.0018,0.0021 
41,42,0.7283,0.8509
42,43,0.3100,0.3623 
43,44,0.0410,0.0478
44,45,0.0092,0.0116  
45,46,0.1089,0.1373
46,47,0.0009,0.0012
5,48,0.0034,0.0084
48,49,0.0851,0.2083
49,50,0.2898,0.7091
50,51,0.0822,0.2011
9,52,0.0928,0.0473 
52,53,0.3319,0.1114  
10,54,0.1740,0.0886 
54,55,0.2030,0.1034
55,56,0.2842,0.1447  
56,57,0.2813,0.1433  
57,58,1.5900,0.5337   
58,59,0.7837,0.2630
59,60,0.3042,0.1006
60,61,0.3861,0.1172   
61,62,0.5075,0.2585   
62,63,0.0974,0.0496   
63,64,0.1450,0.0738
64,65,0.7105,0.3619  
65,66,1.0410,0.5302 
12,67,0.2012,0.0611
67,68,0.0047,0.0014  
13,69,0.7394,0.2444  
69,70,0.0047,0.0016  
